trial,decision,response time,Trial_File,num,p1,p2,p3,p4,num',p1',p2',p3',p4',P1'-P1,P2'-P2,P3'-P3,P4'-P4
1.0,0.0,2.6716408,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,1,-36.3788391907794,-80.7933305432007,-45.5083448106303,28.4499388991925,701,28.7093577351406,-54.6364484003545,27.2321673008665,-65.6882086685795,65.08819692592,26.156882142846193,72.7405121114968,-94.13814756777201
2.0,1.0,2.5089774,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,2,12.0439904584732,70.5107012399188,-6.56172422778979,88.9331981204428,702,-51.5176407559112,83.4904897394561,-36.7040897877348,-44.2455209682146,-63.561631214384406,12.979788499537293,-30.142365559945013,-133.1787190886574
3.0,1.0,2.6174473,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,3,47.1103992263241,51.5142599015303,1.55261692947233,-34.491612580878,703,13.4181375495692,18.7415648984773,44.7986556137102,-31.5119348243975,-33.692261676754896,-32.772695003053,43.246038684237874,2.9796777564804984
4.0,1.0,2.8768231,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,4,11.7663272696157,89.2863303645836,72.0996561875505,82.240368206342,704,7.5279164383502,-39.4825548672568,-89.9979908056803,-61.0497511970482,-4.238410831265501,-128.76888523184041,-162.0976469932308,-143.2901194033902
5.0,0.0,2.0729323,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,5,-65.9292050060086,-11.2000327937261,-24.4946424761029,-20.0707459398622,705,47.3267258348633,85.4935081811053,18.3643633260026,16.2341888623272,113.25593084087191,96.6935409748314,42.8590058021055,36.3049348021894
6.0,1.0,2.32415,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,6,54.6332894069848,-51.8928995720642,-51.6133428790529,82.4906753132743,706,-88.1590848838326,-10.142970879021,21.5917439156371,-31.4609334534804,-142.7923742908174,41.7499286930432,73.20508679469,-113.9516087667547
7.0,1.0,3.2827414,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,7,-35.6947586853846,52.1072762026848,-19.4868391184182,78.6556127556958,707,-35.0753042540562,-44.7286688652177,-51.459853892134,-27.3933716150917,0.6194544313283998,-96.8359450679025,-31.9730147737158,-106.0489843707875
8.0,0.0,2.3245122,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,8,43.2097943147354,-72.9672684783383,-50.2452070433621,-79.0588581491015,708,20.0296042924487,-9.04443237335747,77.8293964958045,-75.6537979286561,-23.1801900222867,63.92283610498083,128.07460353916662,3.4050602204453924
9.0,1.0,2.495997,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,9,14.5955143986634,-53.9050223272394,39.3819135477901,60.8643272739777,709,-57.9392820998085,48.444776640946,-59.9010414638998,-29.8500338965283,-72.5347964984719,102.34979896818541,-99.2829550116899,-90.714361170506
10.0,1.0,2.3799018,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,10,-34.5650926779425,-48.3290389666705,45.6769067042617,20.8581645066691,710,-60.7343138751905,13.9155834794673,-40.7922671603685,3.42234855170712,-26.169221197248,62.244622446137804,-86.46917386463019,-17.43581595496198
11.0,1.0,2.1530897,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,11,74.7578004893265,21.4984775940099,80.2338785353433,82.3177574081593,711,-19.8742749555481,-1.07843908092355,-31.9407375086441,57.6919386490967,-94.6320754448746,-22.57691667493345,-112.1746160439874,-24.625818759062597
12.0,1.0,3.0371145,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,12,65.2064329893946,29.5150805775743,-33.5960107995989,-55.0576308604864,712,21.0561441903908,33.3411512145062,73.6190867524866,35.8180876790024,-44.1502887990038,3.826070636931899,107.2150975520855,90.8757185394888
13.0,0.0,2.1924172,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,13,89.9848648598927,-48.4487152510106,-49.0803722809539,-58.415110508148,713,53.4660450466734,-24.9744636099675,47.1285766735877,35.3782491708252,-36.518819813219295,23.474251641043097,96.2089489545416,93.79335967897319
14.0,1.0,1.8678909,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,14,-20.3759478583726,22.6748792546583,24.1668698496597,28.7109895435897,714,-52.5862562494741,-52.6846266424963,-19.4473605097753,18.1541570279885,-32.21030839110149,-75.3595058971546,-43.614230359435,-10.5568325156012
15.0,1.0,2.1456402,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,15,-0.194056271275787,-29.1610766988703,30.0174853319097,79.9152981845104,715,36.969409798348,12.3699322929136,2.30131513984392,42.6914398090088,37.16346606962379,41.5310089917839,-27.716170192065782,-37.22385837550161
16.0,0.0,2.2624402,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,16,2.48531870466341,-59.8289180177348,-27.6774499101036,-24.7830763382401,716,27.7944906861766,45.2364038308258,-77.4073488735906,-5.94058171916286,25.30917198151319,105.0653218485606,-49.729898963487,18.84249461907724
17.0,1.0,2.5999196,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,17,-47.1937509235248,57.2043046692389,44.4946682291654,-14.1715923889777,717,18.4558643209441,21.3521524651032,-11.9484910651727,-70.2100708994332,65.6496152444689,-35.852152204135706,-56.4431592943381,-56.038478510455505
18.0,0.0,2.3854265,ResultsProsodyExp_Part1_Sub101_25-Dec-2024.mat,18,60.3622445857704,-64.8794759984136,46.1257358849795,-33.1693938283924,718,30.3039800007947,-36.6328113997658,13.4617907467869,-70.3241545806014,-30.0582645849757,28.246664598647797,-32.6639451381926,-37.154760752209
