participant_id,delta,spearman_coef,p_value
101,P1'-P1,-0.08190478874872978,0.030252727761902045
101,P2'-P2,-0.2380622262291233,1.7800008044123773e-10
101,P3'-P3,-0.4711107446317632,5.849440244245159e-40
101,P4'-P4,-0.15958525755799824,2.2163804313111574e-05
102,P1'-P1,-0.07662973560501486,0.04268392471516667
102,P2'-P2,-0.2993266552723631,5.892057569108328e-16
102,P3'-P3,-0.41389027591331506,2.3974396193524202e-30
102,P4'-P4,-0.05111497330545593,0.17674628713073257
103,P1'-P1,-0.11443682170761767,0.002427223952097444
103,P2'-P2,-0.2473798450093585,3.206046082261385e-11
103,P3'-P3,-0.5005884744798439,1.1373084535675643e-45
103,P4'-P4,-0.08893323013227947,0.018602028553504242
104,P1'-P1,0.052216160071648,0.16759211622601822
104,P2'-P2,0.15927204318016006,2.301191449944306e-05
104,P3'-P3,0.6579774719463883,4.773883706223592e-88
104,P4'-P4,0.09768903020520618,0.009704688433807188
105,P1'-P1,-0.0421735764794484,0.26514639145783675
105,P2'-P2,-0.10860609385241042,0.0040169778520765505
105,P3'-P3,-0.16272275408289533,1.5155754961118477e-05
105,P4'-P4,-0.03386502975715555,0.37097966946270744
